,อันดับ,รุ่นCPU,ราคา
0,1,AMD Ryzen 7 7800X3D,"16,500.-"
1,2,INTEL Core i5-13500,"10,400.-"
2,3,INTEL Core i5-13400F,"8,200.-"
3,4,INTEL Core i5-13400,"9,190.-"
4,5,AMD Ryzen 5 5600X,"5,730.-"
5,6,INTEL Core i3-13100F,"4,650.-"
6,7,INTEL Core i7-13700,"15,900.-"
7,8,INTEL Core i3-13100,"5,790.-"
8,9,AMD Ryzen 5 4600G,"3,530.-"
9,10,INTEL Core i5-12400F,"6,290.-"
10,11,AMD Ryzen 7 7600,"8,690.-"
11,12,INTEL Core i7-13700F,"14,700.-"
12,13,AMD Ryzen 7 7700,"12,765.-"
13,14,INTEL Core i9-13900K,"25,600.-"
14,15,INTEL Core i7-13700K,"17,900.-"
15,16,AMD Ryzen 5 5600,"5,170.-"
16,17,AMD Ryzen 5 5500,"4,720.-"
17,18,AMD Ryzen 5 4500,"3,205.-"
18,19,AMD Ryzen 9 7900X3D,"23,500.-"
19,20,AMD Ryzen 5 5600G,"5,150.-"
20,21,AMD Ryzen 5 3600,"3,400.-"
21,22,INTEL Core i5-11400F,"4,760.-"
22,23,INTEL Core i5-10400F,"3,990.-"
23,24,AMD Ryzen 9 7950X3D,"27,200.-"
24,25,AMD Ryzen 7 7600X,"9,420.-"
25,26,INTEL Core i9-13900,"23,900.-"
26,27,INTEL Core i5-9400F,"4,430.-"
27,28,AMD Ryzen 7 5700X,"8,940.-"
28,29,INTEL Core i5-13600K,"13,400.-"
29,30,AMD Ryzen Threadripper Pro 5975WX,"130,500.-"
30,31,INTEL Core i5-12400,"7,490.-"
31,32,AMD Ryzen 9 7950X,"22,900.-"
32,33,AMD Ryzen 3 4100,"2,350.-"
33,34,INTEL Core i3-12100F,"3,650.-"
34,35,AMD Ryzen 3 3200G,"3,060.-"
35,36,AMD FX-6300,"3,380.-"
36,37,INTEL Core i3-10105F,"2,790.-"
37,38,AMD Athlon 200GE,"1,740.-"
38,39,INTEL Core i3-12100,"4,950.-"
39,40,AMD Ryzen 9 5900X,"11,385.-"
40,41,INTEL Core i3-9100F,"3,130.-"
41,42,INTEL Core i5-13600KF,"12,500.-"
42,43,AMD Ryzen 5 PRO 4650G,"3,865.-"
43,44,AMD Ryzen 9 7900,"16,325.-"
44,45,INTEL Core i3-10100F,"2,540.-"
45,46,AMD Ryzen 7 5800X,"9,100.-"
46,47,AMD Ryzen 5 3500,"5,980.-"
47,48,AMD Ryzen 9 5950X,"18,300.-"
48,49,AMD Ryzen 3 2300X,"3,890.-"
49,50,INTEL Core i5-10400,"4,825.-"
50,51,INTEL Core i7-12700F,"12,400.-"
51,52,AMD Ryzen 7 5700G,"7,890.-"
52,53,INTEL Core i5-11400,"5,990.-"
53,54,AMD Ryzen 5 2600 Next,"3,990.-"
54,55,INTEL Core i5-12500,"8,290.-"
55,56,AMD Ryzen 5 3500X,"5,700.-"
56,57,AMD Ryzen 5 3400G,"4,590.-"
57,58,AMD Ryzen 7 7700X,"13,400.-"
58,59,INTEL Core i3-10105,"3,500.-"
59,60,AMD Ryzen 7 5800X 3D,"11,925.-"
60,61,INTEL Core i3-10100,"3,720.-"
61,62,INTEL Core i7-10700,"7,750.-"
62,63,AMD Ryzen 5 2600,"7,490.-"
63,64,INTEL Core i9-10980XE Extreme Edition,"26,970.-"
64,65,INTEL Core i5-3470,"1,700.-"
65,66,AMD Ryzen 7 3700X,"11,900.-"
66,67,AMD Ryzen 3 1200,"3,990.-"
67,68,INTEL Core i7-4790,"3,980.-"
68,69,INTEL Core i9-12900KS Special Edition,"27,900.-"
69,70,INTEL Core i5-12600,"9,190.-"
70,71,INTEL Core i9-9900,"3,080.-"
71,72,INTEL Pentium G4400,"1,355.-"
72,73,INTEL Core i9-13900KF,"24,500.-"
73,74,INTEL Core i5-7400,"3,365.-"
74,75,INTEL Core i9-13900F,"22,900.-"
75,76,INTEL Core i7-12700K,"14,075.-"
76,77,INTEL Core i7-8700,"11,xxx.-"
77,78,INTEL Core i7-12700,"13,600.-"
78,79,INTEL Core i5-12600K,"11,200.-"
79,80,INTEL Core i7-13700KF,"16,500.-"
80,81,INTEL Core i5-12600KF,"8,900.-"
81,82,INTEL Core i7-11700F,"9,500.-"
82,83,INTEL Pentium Gold G6405,"1,965.-"
83,84,INTEL Core i5-10400F Next,"4,115.-"
84,85,AMD A8-9600,"1,890.-"
85,86,INTEL Core i9-12900K,"20,650.-"
86,87,INTEL Core i7-12700KF,"14,900.-"
87,88,INTEL Core i9-11900K,"16,900.-"
88,89,INTEL Core i7-10700F,"7,000.-"
89,90,AMD Athlon 3000G,"1,690.-"
90,91,INTEL Core i5-8400,"4,330.-"
91,92,INTEL Core i5-6400,"2,820.-"
92,93,INTEL Core i3-7100,"2,500.-"
93,94,AMD Ryzen 5 2400G,"5,990.-"
94,95,AMD Ryzen 9 7900X,"20,900.-"
95,96,INTEL Pentium Gold G7400,"2,790.-"
96,97,INTEL Core i9-12900,"18,900.-"
97,98,INTEL Pentium Gold G6400,"1,990.-"
98,99,AMD Ryzen 7 3800X,"15,400.-"
99,100,INTEL Core i3-6100,"2,240.-"
