,อันดับ,รุ่นCPU,ราคา
0,1,ASUS TUF Gaming B760M-Plus D4,"5,200.-"
1,2,ASUS Prime B760M-K D4-CSM,"3,990.-"
2,3,MSI PRO B760M-P D4,"4,790.-"
3,4,MSI A320M-A Pro,"1,690.-"
4,5,ASRock B760M Steel Legend WiFi,"6,990.-"
5,6,MSI PRO H610M-E DDR4,"2,535.-"
6,7,GIGABYTE B660M DS3H,"3,515.-"
7,8,ASRock B760M Pro RS/D4,"4,790.-"
8,9,ASRock B760M-HDV/M.2 D4,"3,790.-"
9,10,ASROCK B450M Steel Legend,"3,290.-"
10,11,GIGABYTE A520M S2H,"2,240.-"
11,12,ASRock B760M PG Sonic WiFi,"7,090.-"
12,13,BIOSTAR H610MHP,"2,335.-"
13,14,ASROCK H610M-HDV-M.2 R2.0,"2,590.-"
14,15,ASROCK A520M-HVS,"2,000.-"
15,16,ASUS PRIME A320M-K,"1,990.-"
16,17,ASROCK A320M-HDV,"1,820.-"
17,18,ASRock B660M Phantom Gaming 4,"3,720.-"
18,19,ASUS ROG Maximus Z790 Apex,"27,390.-"
19,20,GIGABYTE B660M Gaming X DDR4,"4,340.-"
20,21,ASUS Z790-P Prime CSM D5,"10,500.-"
21,22,ASUS ROG Strix X670E-I Gaming WIFI,"18,975.-"
22,23,ASUS Prime B760M-A D4 WIFI,"4,990.-"
23,24,MSI Pro Z690-A DDR5,"7,690.-"
24,25,GIGABYTE B660M Aorus Pro,"4,510.-"
25,26,GIGABYTE H510M-K,"2,110.-"
26,27,MSI B650M-A II,"6,590.-"
27,28,ASUS Prime H610M-K D4,"2,750.-"
28,29,GIGABYTE H610M H,"2,610.-"
29,30,ASRock B760M Pro RS/D4 WiFi,"5,450.-"
30,31,ASROCK A320M-HDV R4.0,"1,390.-"
31,32,GIGABYTE B650M DS3H,"5,880.-"
32,33,GIGABYTE Z790 Gaming X,"9,085.-"
33,34,ASUS EX-B660M-V5 PRO D4,"3,265.-"
34,35,MSI A520M-A Pro,"2,190.-"
35,36,MSI B450 Gaming Plus Max,"3,115.-"
36,37,GIGABYTE A520M K,"2,040.-"
37,38,ASUS ROG Strix B660-G Gaming WIFI,"7,590.-"
38,39,ASUS Prime H770-Plus D4,"6,690.-"
39,40,ASROCK H670M-ITX-AX,"6,350.-"
40,41,GIGABYTE B550M DS3H,"3,315.-"
41,42,MSI B450-A Pro Max,"2,990.-"
42,43,ASROCK H610M-HDV,"2,570.-"
43,44,ASRock WRX80 Creator,"38,190.-"
44,45,ASUS ROG Strix Z790-F Gaming WIFI,"17,900.-"
45,46,GIGABYTE B550M AORUS ELITE,"3,710.-"
46,47,GIGABYTE GA-H110M-DS2,"2,240.-"
47,48,ASROCK H670M Pro RS,"3,900.-"
48,49,ASROCK B660M Pro RS DDR4,"4,130.-"
49,50,ASUS P8H61-M LE,0.-
50,51,ASUS Prime H610M-E D4,"2,590.-"
51,52,ASUS Prime B660M-K D4 CSM,"3,690.-"
52,53,ASUS Prime B550M-Plus,"4,105.-"
53,54,ASROCK H470M-HDV M.2,"2,xxx.-"
54,55,ASROCK H670 PG Riptide,"4,585.-"
55,56,GIGABYTE B450M DS3H V2,"2,495.-"
56,57,ASUS ROG Strix Z790-A Gaming WIFI D4,"15,525.-"
57,58,GIGABYTE B660 Gaming X DDR4,"5,525.-"
58,59,ASROCK B660M-HDV,"3,230.-"
59,60,ASUS PRIME A520M-K,"2,250.-"
60,61,GIGABYTE H510M H,"2,250.-"
61,62,ASUS ROG Strix Z790-E Gaming WIFI,"21,400.-"
62,63,MSI Pro H610M-G D4,"2,990.-"
63,64,ASUS PRIME B550M-K,"3,590.-"
64,65,ASUS Prime H610M-A WIFI D4,"3,715.-"
65,66,MSI B550-A Pro,"4,390.-"
66,67,ASUS ROG Crosshair X670E Hero,"27,150.-"
67,68,ASRock Z790M-ITX WiFi,"9,675.-"
68,69,ASUS Prime H510M-K,"2,155.-"
69,70,GIGABYTE B650I Aorus Ultra,"12,400.-"
70,71,GIGABYTE Z790 UD,"8,150.-"
71,72,GIGABYTE B660M Gaming  DDR4,"3,345.-"
72,73,ASUS TUF Gaming B660M-E D4,"4,605.-"
73,74,ASUS Prime H610M-E D4-CSM,"2,850.-"
74,75,GIGABYTE H610M S2H,"2,710.-"
75,76,MSI H510M-A Pro,"2,255.-"
76,77,MAXSUN A520M Challenger,"1,690.-"
77,78,GIGABYTE B660 DS3H,"4,700.-"
78,79,ASROCK H610M-HVS/M.2 R2.0,"2,590.-"
79,80,MSI Pro B660M-E DDR4,"3,490.-"
80,81,ASROCK B560M Pro4,"3,690.-"
81,82,ASROCK B660M Steel Legend DDR4,"5,150.-"
82,83,ASUS PRIME A520M-A/CSM,"2,480.-"
83,84,ASUS P8H61-M LX (R2),0.-
84,85,ASUS Prime B760-Plus D4,"6,190.-"
85,86,ASROCK B550 PG Riptide,"5,090.-"
86,87,ASUS Prime B560-Plus,"4,020.-"
87,88,GIGABYTE Z790 AORUS Elite AX,"10,940.-"
88,89,ASROCK B450 Pro4 R2.0,"3,085.-"
89,90,MSI H170 GAMING M3,0.-
90,91,ASUS ROG Strix B650-A Gaming WIFI,"11,490.-"
91,92,MSI MPG Z790I Edge WIFI,"14,100.-"
92,93,ASUS Prime B660M-K D4,"3,690.-"
93,94,GIGABYTE H410M S2 V2,"2,050.-"
94,95,ASROCK B550M-HDV,"2,890.-"
95,96,ASROCK B550 Steel Legend,"5,990.-"
96,97,ASUS P8Z77-V LX,0.-
97,98,GIGABYTE Z690 Gaming X,"7,415.-"
98,99,ASROCK B550 Pro4,"4,010.-"
99,100,GIGABYTE B450M S2H,"2,335.-"
