,อันดับ,รุ่นCPU,ราคา
0,1,INTEL Core i9-13900KS Special Edition,"27,990.-"
1,2,AMD Ryzen 7 7800X3D,"17,600.-"
2,3,AMD Ryzen 9 7900X3D,"22,590.-"
3,4,AMD Ryzen 9 7950X3D,"26,500.-"
4,5,AMD Ryzen 7 7600,"7,790.-"
5,6,AMD Ryzen 7 7700,"11,185.-"
6,7,AMD Ryzen 9 7900,"13,750.-"
7,8,INTEL Core i3-13100,"5,490.-"
8,9,INTEL Core i3-13100F,"4,390.-"
9,10,INTEL Core i5-13400,"8,790.-"
10,11,INTEL Core i5-13400F,"7,690.-"
11,12,INTEL Core i5-13500,"9,350.-"
12,13,INTEL Core i7-13700,"14,900.-"
13,14,INTEL Core i7-13700F,"14,200.-"
14,15,INTEL Core i9-13900,"21,900.-"
15,16,INTEL Core i9-13900F,"20,900.-"
16,17,AMD Ryzen 7 7600X,"8,190.-"
17,18,AMD Ryzen 7 7700X,"12,200.-"
18,19,AMD Ryzen 9 7900X,"14,800.-"
19,20,AMD Ryzen 9 7950X,"20,150.-"
20,21,INTEL Core i9-13900K,"24,900.-"
21,22,INTEL Core i9-13900KF,"22,900.-"
22,23,INTEL Core i7-13700K,"16,800.-"
23,24,INTEL Core i7-13700KF,"16,200.-"
24,25,INTEL Core i5-13600K,"12,800.-"
25,26,INTEL Core i5-13600KF,"11,800.-"
26,27,INTEL Core i5-12400F,"5,690.-"
27,28,INTEL Core i7-12700,"13,500.-"
28,29,INTEL Core i9-12900F,"18,900.-"
29,30,AMD Ryzen 5 4600G,"3,350.-"
30,31,AMD Ryzen Threadripper Pro 5975WX,"132,000.-"
31,32,AMD Ryzen Threadripper Pro 5965WX,"93,000.-"
32,33,AMD Ryzen 5 4500,"2,860.-"
33,34,AMD Ryzen 3 4100,"2,320.-"
34,35,INTEL Core i9-12900KS Special Edition,"27,900.-"
35,36,AMD Ryzen 7 5800X 3D,"11,350.-"
36,37,INTEL Core i3-12100,"4,690.-"
37,38,INTEL Core i3-12100F,"3,350.-"
38,39,AMD Ryzen 7 5700X,"8,490.-"
39,40,AMD Ryzen 5 5600,"5,090.-"
40,41,AMD Ryzen 5 5500,"4,450.-"
41,42,INTEL Celeron G6900,"1,990.-"
42,43,INTEL Pentium Gold G6900,"1,590.-"
43,44,INTEL Pentium Gold G7400,"2,990.-"
44,45,INTEL Core i9-12900,"18,400.-"
45,46,INTEL Core i7-12700F,"12,200.-"
46,47,INTEL Core i5-12600KF,"10,xxx.-"
47,48,INTEL Core i5-12600,"9,xxx.-"
48,49,INTEL Core i5-12500,"8,290.-"
49,50,INTEL Core i5-12400,"7,190.-"
50,51,INTEL Core i5-12400KF,"6,xxx.-"
51,52,INTEL Core i9-12900K,"23,900.-"
52,53,INTEL Core i5-12600K,"11,200.-"
53,54,INTEL Core i7-12700K,"12,025.-"
54,55,INTEL Core i7-12700KF,"11,100.-"
55,56,INTEL Core i9-12900KF,"22,xxx.-"
56,57,INTEL Pentium Gold G6405,"2,250.-"
57,58,AMD Ryzen Threadripper Pro 3955WX,"42,900.-"
58,59,AMD Ryzen 5 5600G,"5,190.-"
59,60,AMD Ryzen 7 5700G,"7,690.-"
60,61,INTEL Core i5-11600,"7,500.-"
61,62,INTEL Core i3-10105,"4,090.-"
62,63,INTEL Celeron G5900,"1,350.-"
63,64,INTEL Core i9-11900K,"16,900.-"
64,65,INTEL Core i7-11700KF,"13,xxx.-"
65,66,INTEL Core i5-11400,"6,090.-"
66,67,INTEL Core i7-11700F,"9,500.-"
67,68,INTEL Pentium Gold G6605,"3,390.-"
68,69,AMD Ryzen Threadripper Pro 3995WX,"198,000.-"
69,70,AMD Ryzen Threadripper Pro 3975WX,"98,500.-"
70,71,INTEL Core i9-11900KF,"14,900.-"
71,72,INTEL Core i9-11900,"16,xxx.-"
72,73,INTEL Core i9-11900F,"13,900.-"
73,74,INTEL Core i7-11700K,"15,xxx.-"
74,75,INTEL Core i7-11700,"12,xxx.-"
75,76,INTEL Core i5-11600K,"7,990.-"
76,77,INTEL Core i5-11600KF,"6,990.-"
77,78,INTEL Core i5-11500,"7,xxx.-"
78,79,INTEL Core i5-11400F,"5,500.-"
79,80,INTEL Core i3-10105F,"2,570.-"
80,81,INTEL Core i7-9700 Unlock,"9,710.-"
81,82,AMD Ryzen 5 3600X Next,"6,890.-"
82,83,AMD Ryzen 3 3100 Next,"3,450.-"
83,84,INTEL G5500 Next,"2,200.-"
84,85,INTEL Core i9-10850K,"16,xxx.-"
85,86,INTEL Core i3-3240 Next,"1,620.-"
86,87,INTEL Core i3-10100F,"2,495.-"
87,88,AMD Ryzen 5 5600X,"5,585.-"
88,89,AMD Ryzen 7 5800X,"8,800.-"
89,90,AMD Ryzen 9 5950X,"24,900.-"
90,91,AMD Ryzen 9 5900X,"17,000.-"
91,92,AMD Ryzen 5 3500X Next,"4,620.-"
92,93,AMD Ryzen 7 2700 Next,"5,920.-"
93,94,AMD Ryzen 5 2600 Next,"2,445.-"
94,95,INTEL Core i5-10400F Next,"4,015.-"
95,96,INTEL Core i5-10400 Next,"6,090.-"
96,97,INTEL Core i3-10100 Next,"3,990.-"
97,98,INTEL Core i7-10700F,"7,440.-"
98,99,INTEL Core i5-10600K,"9,600.-"
99,100,INTEL Core i9-10900F,"15,xxx.-"
