,อันดับ,รุ่นCPU,ราคา
0,1,INTEL Core i5-12400F,"6,290.-"
1,2,INTEL Core i5-12400,"7,490.-"
2,3,AMD Athlon 200GE,"1,740.-"
3,4,INTEL Core i5-8400,"4,330.-"
4,5,INTEL Core i5-13400F,"8,200.-"
5,6,INTEL Core i9-12900F,"18,900.-"
6,7,AMD Ryzen 5 4600G,"3,530.-"
7,8,INTEL Pentium Gold G6605,"3,390.-"
8,9,AMD A8-9600,"1,890.-"
9,10,INTEL Core i7-8700K,"14,290.-"
10,11,AMD A10-7800,"3,990.-"
11,12,AMD Ryzen 7 7800X3D,"16,500.-"
12,13,AMD Ryzen 9 7900X3D,"23,500.-"
13,14,AMD Ryzen 9 7950X3D,"27,200.-"
14,15,AMD Ryzen 7 7600,"8,690.-"
15,16,AMD Ryzen 7 7700,"12,765.-"
16,17,AMD Ryzen 9 7900,"16,325.-"
17,18,INTEL Core i3-13100,"5,790.-"
18,19,INTEL Core i3-13100F,"4,650.-"
19,20,INTEL Core i5-13400,"9,190.-"
20,21,INTEL Core i5-13500,"10,400.-"
21,22,INTEL Core i7-13700,"15,900.-"
22,23,INTEL Core i7-13700F,"14,700.-"
23,24,INTEL Core i9-13900,"23,900.-"
24,25,INTEL Core i9-13900F,"22,900.-"
25,26,AMD Ryzen 7 7600X,"9,420.-"
26,27,AMD Ryzen 7 7700X,"13,400.-"
27,28,AMD Ryzen 9 7900X,"20,900.-"
28,29,AMD Ryzen 9 7950X,"22,900.-"
29,30,INTEL Core i9-13900K,"25,600.-"
30,31,INTEL Core i9-13900KF,"24,500.-"
31,32,INTEL Core i7-13700K,"17,900.-"
32,33,INTEL Core i7-13700KF,"16,500.-"
33,34,INTEL Core i5-13600K,"13,400.-"
34,35,INTEL Core i5-13600KF,"12,500.-"
35,36,INTEL Core i7-12700,"13,600.-"
36,37,AMD Ryzen Threadripper Pro 5975WX,"132,000.-"
37,38,AMD Ryzen Threadripper Pro 5965WX,"95,000.-"
38,39,AMD Ryzen 5 4500,"4,990.-"
39,40,AMD Ryzen 3 4100,"2,350.-"
40,41,INTEL Core i9-12900KS Special Edition,"27,900.-"
41,42,AMD Ryzen 7 5800X 3D,"11,925.-"
42,43,INTEL Core i3-12100,"4,950.-"
43,44,INTEL Core i3-12100F,"3,650.-"
44,45,AMD Ryzen 7 5700X,"8,940.-"
45,46,AMD Ryzen 5 5600,"5,170.-"
46,47,AMD Ryzen 5 5500,"4,720.-"
47,48,INTEL Celeron G6900,"1,990.-"
48,49,INTEL Pentium Gold G6900,"1,590.-"
49,50,INTEL Pentium Gold G7400,"2,790.-"
50,51,INTEL Core i9-12900,"18,900.-"
51,52,INTEL Core i7-12700F,"12,400.-"
52,53,INTEL Core i5-12600KF,"8,900.-"
53,54,INTEL Core i5-12600,"9,190.-"
54,55,INTEL Core i5-12500,"8,290.-"
55,56,INTEL Core i5-12400KF,"6,xxx.-"
56,57,INTEL Core i9-12900K,"20,650.-"
57,58,INTEL Core i5-12600K,"11,200.-"
58,59,INTEL Core i7-12700K,"14,075.-"
59,60,INTEL Core i7-12700KF,"14,900.-"
60,61,INTEL Core i9-12900KF,"22,xxx.-"
61,62,INTEL Pentium Gold G6405,"1,965.-"
62,63,AMD Ryzen Threadripper Pro 3955WX,"42,900.-"
63,64,AMD Ryzen 5 5600G,"5,150.-"
64,65,AMD Ryzen 7 5700G,"7,890.-"
65,66,INTEL Core i5-11600,"7,500.-"
66,67,INTEL Core i3-10105,"3,500.-"
67,68,INTEL Celeron G5900,"1,470.-"
68,69,INTEL Core i9-11900K,"16,900.-"
69,70,INTEL Core i7-11700KF,"13,xxx.-"
70,71,INTEL Core i5-11400,"5,990.-"
71,72,INTEL Core i7-11700F,"9,500.-"
72,73,AMD Ryzen Threadripper Pro 3995WX,"198,000.-"
73,74,AMD Ryzen Threadripper Pro 3975WX,"98,500.-"
74,75,INTEL Core i9-11900KF,"14,900.-"
75,76,INTEL Core i9-11900,"16,380.-"
76,77,INTEL Core i9-11900F,"13,900.-"
77,78,INTEL Core i7-11700K,"15,xxx.-"
78,79,INTEL Core i7-11700,"12,xxx.-"
79,80,INTEL Core i5-11600K,"8,900.-"
80,81,INTEL Core i5-11600KF,"6,990.-"
81,82,INTEL Core i5-11500,"7,xxx.-"
82,83,INTEL Core i5-11400F,"4,760.-"
83,84,INTEL Core i3-10105F,"2,790.-"
84,85,INTEL Core i7-9700 Unlock,"9,710.-"
85,86,AMD Ryzen 5 3600X Next,"6,890.-"
86,87,AMD Ryzen 3 3100 Next,"3,450.-"
87,88,INTEL G5500 Next,"2,200.-"
88,89,INTEL Core i9-10850K,"16,xxx.-"
89,90,INTEL Core i3-3240 Next,"1,620.-"
90,91,INTEL Core i3-10100F,"2,540.-"
91,92,AMD Ryzen 5 5600X,"5,730.-"
92,93,AMD Ryzen 7 5800X,"9,100.-"
93,94,AMD Ryzen 9 5950X,"18,300.-"
94,95,AMD Ryzen 9 5900X,"11,385.-"
95,96,AMD Ryzen 5 3500X Next,"4,620.-"
96,97,AMD Ryzen 7 2700 Next,"5,920.-"
97,98,AMD Ryzen 5 2600 Next,"3,990.-"
98,99,INTEL Core i5-10400F Next,"4,115.-"
99,100,INTEL Core i5-10400 Next,"6,090.-"
