,อันดับ,รุ่นCPU,ราคา
0,1,ASUS Prime B760M-A D4 WIFI,"4,990.-"
1,2,GIGABYTE B660M Gaming X DDR4,"4,340.-"
2,3,ASUS Prime H770-Plus D4,"6,690.-"
3,4,GIGABYTE A520M S2H,"2,240.-"
4,5,MSI PRO B760M-P D4,"4,790.-"
5,6,ASUS TUF Gaming B760M-Plus D4,"5,200.-"
6,7,GIGABYTE H510M-K,"2,110.-"
7,8,MSI B650M-A WIFI,"7,900.-"
8,9,MSI MAG Z790 Tomahawk WIFI DDR4,"12,600.-"
9,10,ASUS TUF Gaming B660-Plus WIFI D4,"7,590.-"
10,11,ASROCK X370M-HDV R4.0,"1,490.-"
11,12,ASROCK X370M,"1,390.-"
12,13,ASUS Prime B660M-K D4,"3,690.-"
13,14,MSI Pro H610M-M D4,"3,050.-"
14,15,ASUS Prime H610M-K D4,"2,750.-"
15,16,ASROCK Z690 PG Riptide,"6,500.-"
16,17,ASUS TUF Gaming Z690-Plus WIFI D4,"10,500.-"
17,18,ASUS Prime Z690-P,"8,590.-"
18,19,ASUS Prime Z690M-Plus D4,"6,690.-"
19,20,MSI B560M-A Pro,"3,450.-"
20,21,ASUS TUF Gaming H570 Pro WIFI,"5,500.-"
21,22,ASROCK B560M Pro4,"3,690.-"
22,23,ASROCK B550M-HDV,"2,890.-"
23,24,MSI MAG Z490 Tomahawk,"6,730.-"
24,25,ASUS ROG STRIX B365-F GAMING,"4,590.-"
25,26,ASUS PRIME H310M-A,"2,690.-"
26,27,ASROCK Z270 Extreme4,0.-
27,28,ASROCK X99 TAICHI,0.-
28,29,MSI E3M WORKSTATION V5,0.-
29,30,MSI X99A SLI KRAIT EDITION,0.-
30,31,ASROCK Z170 PRO4,0.-
31,32,MSI B150M PRO-VDH,0.-
32,33,ASUS Z97-PRO (Wi-Fi AC),0.-
33,34,ASROCK FM2A88X ITX+,0.-
34,35,MSI H61M-P31 (G3),0.-
35,36,ASUS P8H77-M,0.-
36,37,ASUS P8H61-M LX (R2),0.-
37,38,ASUS Prime B760M-K D4-CSM,"3,990.-"
38,39,ASUS Z790-P Prime CSM D5,"10,500.-"
39,40,MSI B650M-A II,"6,590.-"
40,41,ASUS ROG Strix X670E-I Gaming WIFI,"18,975.-"
41,42,GIGABYTE A520M K,"2,040.-"
42,43,ASRock B760M PG Sonic WiFi,"7,090.-"
43,44,ASRock B760M Steel Legend WiFi,"6,990.-"
44,45,ASROCK H610M-HDV-M.2 R2.0,"2,590.-"
45,46,ASRock B760M Pro RS/D4,"4,790.-"
46,47,MSI PRO B760-P WIFI D4,"6,590.-"
47,48,MSI PRO B760M-G D4,"4,590.-"
48,49,MSI PRO B760M-E D4,"3,890.-"
49,50,ASUS Prime B760-Plus D4,"6,190.-"
50,51,ASRock B760M-HDV/M.2 D4,"3,790.-"
51,52,ASRock B760M Pro RS/D4 WiFi,"5,450.-"
